id_transaksi_detail,kode_transaksi,tgl_transaksi,kode_produk,nama_produk,harga,jumlah
7554,TRX988068,2022-05-28,PRD6373,Produk14,41754,4
2532,TRX855734,2022-05-28,PRD4230,Produk90,96438,7
6564,TRX198053,2022-05-28,PRD4609,Produk42,75993,3
9474,TRX393562,2022-05-28,PRD2844,Produk96,71526,9
7754,TRX828135,2022-05-28,PRD7850,Produk46,44903,4
4404,TRX220298,2022-05-28,PRD9447,Produk87,61759,9
2115,TRX516688,2022-05-28,PRD1058,Produk12,67449,6
2930,TRX906656,2022-05-28,PRD1509,Produk24,71109,3
4436,TRX624589,2022-05-28,PRD6857,Produk19,23260,3
2934,TRX594068,2022-05-28,PRD5308,Produk48,94571,1
6803,TRX507150,2022-05-29,PRD4530,Produk9,43470,4
9095,TRX850360,2022-05-29,PRD4501,Produk52,51383,9
9008,TRX597862,2022-05-29,PRD4901,Produk91,86262,2
3641,TRX629404,2022-05-29,PRD3114,Produk96,50485,5
9409,TRX232839,2022-05-29,PRD2633,Produk32,22503,5
6793,TRX590751,2022-05-29,PRD8009,Produk78,60859,8
6199,TRX533366,2022-05-29,PRD2305,Produk92,15299,2
3538,TRX412799,2022-05-29,PRD5935,Produk29,70029,5
5913,TRX161125,2022-05-29,PRD2760,Produk81,68597,8
6322,TRX148516,2022-05-29,PRD9235,Produk25,26693,7
9251,TRX521655,2022-05-30,PRD6881,Produk7,45339,1
7724,TRX688082,2022-05-30,PRD8821,Produk21,56700,6
2331,TRX971360,2022-05-30,PRD7602,Produk56,72670,7
3746,TRX908299,2022-05-30,PRD9071,Produk27,26205,8
8391,TRX939163,2022-05-30,PRD4912,Produk32,83254,8
7694,TRX962579,2022-05-30,PRD6722,Produk55,71314,7
2180,TRX933548,2022-05-30,PRD6778,Produk86,53715,3
8382,TRX205438,2022-05-30,PRD6272,Produk83,64457,1
6686,TRX807281,2022-05-30,PRD5330,Produk49,67610,2
4091,TRX446832,2022-05-30,PRD7291,Produk68,14208,6
2705,TRX856575,2022-05-31,PRD5687,Produk80,66877,9
7627,TRX198972,2022-05-31,PRD4342,Produk91,16557,9
9713,TRX173168,2022-05-31,PRD4226,Produk18,47511,7
7634,TRX147693,2022-05-31,PRD4158,Produk26,69118,9
5330,TRX810649,2022-05-31,PRD3947,Produk3,28051,3
4748,TRX140390,2022-05-31,PRD6973,Produk61,50410,5
8649,TRX562120,2022-05-31,PRD2022,Produk51,32076,4
1757,TRX555253,2022-05-31,PRD8543,Produk68,95549,9
8062,TRX566745,2022-05-31,PRD1771,Produk68,17254,9
9456,TRX916059,2022-05-31,PRD2336,Produk63,84326,2
9680,TRX558610,2022-06-01,PRD7685,Produk28,78615,1
7863,TRX759428,2022-06-01,PRD2290,Produk72,68241,8
5503,TRX571410,2022-06-01,PRD8971,Produk23,36933,9
7134,TRX260971,2022-06-01,PRD8634,Produk75,82122,1
3746,TRX982535,2022-06-01,PRD7730,Produk70,62903,2
4397,TRX413406,2022-06-01,PRD5199,Produk57,47306,1
8111,TRX599655,2022-06-01,PRD6487,Produk78,58564,6
6375,TRX976638,2022-06-01,PRD6116,Produk96,60032,4
8855,TRX877461,2022-06-01,PRD7779,Produk24,48630,5
5247,TRX308209,2022-06-01,PRD1705,Produk70,12552,8
1217,TRX419223,2022-06-02,PRD4599,Produk2,56590,2
3727,TRX883966,2022-06-02,PRD4927,Produk79,27946,8
1315,TRX843684,2022-06-02,PRD1652,Produk74,88098,4
2183,TRX965536,2022-06-02,PRD1889,Produk61,59426,4
5428,TRX538077,2022-06-02,PRD1931,Produk11,31254,7
2787,TRX449578,2022-06-02,PRD4596,Produk95,52998,9
4039,TRX369326,2022-06-02,PRD3733,Produk6,22122,1
3807,TRX781217,2022-06-02,PRD8848,Produk59,30818,9
8182,TRX564893,2022-06-02,PRD7294,Produk8,38382,1
9702,TRX707929,2022-06-02,PRD8119,Produk57,20681,8
4915,TRX235860,2022-06-03,PRD2794,Produk41,71523,5
8402,TRX763549,2022-06-03,PRD7300,Produk63,45050,2
1849,TRX827997,2022-06-03,PRD8813,Produk5,94187,4
7212,TRX792651,2022-06-03,PRD1256,Produk92,24686,7
6567,TRX510715,2022-06-03,PRD3927,Produk95,56647,7
1686,TRX904913,2022-06-03,PRD8375,Produk86,64092,2
4352,TRX172335,2022-06-03,PRD9141,Produk72,24194,8
6237,TRX186292,2022-06-03,PRD1912,Produk76,46874,9
4045,TRX180244,2022-06-03,PRD5174,Produk24,39138,7
1626,TRX517992,2022-06-03,PRD6268,Produk56,16271,5
8201,TRX915280,2022-06-04,PRD9192,Produk29,94733,7
7448,TRX289372,2022-06-04,PRD2116,Produk89,59185,8
5191,TRX274924,2022-06-04,PRD2977,Produk26,72397,3
4141,TRX194988,2022-06-04,PRD9766,Produk36,28353,7
8236,TRX885919,2022-06-04,PRD6292,Produk35,95908,3
1366,TRX953817,2022-06-04,PRD4750,Produk76,15320,1
1433,TRX783490,2022-06-04,PRD6683,Produk12,60998,6
3744,TRX836187,2022-06-04,PRD9249,Produk16,22046,1
1571,TRX160313,2022-06-04,PRD7388,Produk75,91326,4
5229,TRX247135,2022-06-04,PRD8221,Produk31,22270,7
5890,TRX338137,2022-06-05,PRD6315,Produk82,54318,7
5961,TRX673122,2022-06-05,PRD5296,Produk78,12524,7
9340,TRX796983,2022-06-05,PRD6284,Produk7,51219,8
8326,TRX460425,2022-06-05,PRD6292,Produk20,57407,7
7871,TRX751181,2022-06-05,PRD7810,Produk90,92154,6
8604,TRX730334,2022-06-05,PRD3689,Produk31,79491,7
4111,TRX592979,2022-06-05,PRD1981,Produk6,83166,6
4786,TRX932454,2022-06-05,PRD5028,Produk72,55727,7
6349,TRX906352,2022-06-05,PRD2877,Produk66,61264,4
8383,TRX604685,2022-06-05,PRD7484,Produk63,54188,2
1511,TRX880090,2022-06-06,PRD4567,Produk39,81093,9
6951,TRX699089,2022-06-06,PRD9426,Produk3,60685,1
5467,TRX765296,2022-06-06,PRD4864,Produk66,28434,9
7926,TRX794374,2022-06-06,PRD7232,Produk58,35592,8
8631,TRX412846,2022-06-06,PRD1468,Produk90,85749,6
8561,TRX946682,2022-06-06,PRD2725,Produk67,78858,1
7973,TRX700607,2022-06-06,PRD2032,Produk75,71324,2
3321,TRX979842,2022-06-06,PRD9558,Produk34,29029,9
4586,TRX616791,2022-06-06,PRD2857,Produk40,89152,5
2240,TRX263940,2022-06-06,PRD8855,Produk1,41976,7
3995,TRX531069,2022-06-07,PRD9728,Produk92,82733,3
4867,TRX914009,2022-06-07,PRD1824,Produk99,68561,4
7714,TRX805048,2022-06-07,PRD4075,Produk49,13166,1
5314,TRX288613,2022-06-07,PRD4804,Produk77,99444,2
4380,TRX648157,2022-06-07,PRD7642,Produk59,11872,3
1345,TRX537397,2022-06-07,PRD2320,Produk8,72607,3
7148,TRX579493,2022-06-07,PRD7136,Produk20,20887,5
5005,TRX197483,2022-06-07,PRD6424,Produk29,19341,2
9947,TRX247157,2022-06-07,PRD1484,Produk90,74995,4
5090,TRX155657,2022-06-07,PRD8487,Produk18,74618,6
4434,TRX774431,2022-06-08,PRD4394,Produk13,51689,7
5978,TRX173944,2022-06-08,PRD2007,Produk79,52033,8
6273,TRX399219,2022-06-08,PRD4372,Produk76,82899,1
1152,TRX672052,2022-06-08,PRD4411,Produk91,55723,2
3904,TRX579670,2022-06-08,PRD8832,Produk35,23798,7
6007,TRX100354,2022-06-08,PRD5110,Produk96,35156,5
1448,TRX564903,2022-06-08,PRD6805,Produk66,84970,8
6881,TRX553889,2022-06-08,PRD4634,Produk76,97625,1
7523,TRX266873,2022-06-08,PRD2479,Produk17,38027,2
5536,TRX458645,2022-06-08,PRD1499,Produk60,56675,2
3652,TRX803661,2022-06-09,PRD9142,Produk43,15847,3
2584,TRX525005,2022-06-09,PRD6195,Produk65,24289,4
4220,TRX158840,2022-06-09,PRD2825,Produk74,48542,8
4009,TRX665095,2022-06-09,PRD9858,Produk45,64395,6
7494,TRX888865,2022-06-09,PRD3633,Produk68,42273,5
9558,TRX937437,2022-06-09,PRD5374,Produk19,68811,6
9089,TRX505746,2022-06-09,PRD5233,Produk23,69099,9
1078,TRX592474,2022-06-09,PRD5642,Produk78,46399,5
6851,TRX854689,2022-06-09,PRD1295,Produk38,37058,6
6037,TRX957323,2022-06-09,PRD2356,Produk90,21953,4
5151,TRX520899,2022-06-10,PRD4380,Produk48,58366,3
4114,TRX717847,2022-06-10,PRD2066,Produk39,25389,6
3049,TRX750931,2022-06-10,PRD7939,Produk96,97944,7
8709,TRX936577,2022-06-10,PRD3477,Produk43,13684,2
5701,TRX153258,2022-06-10,PRD4105,Produk24,97362,6
5632,TRX707207,2022-06-10,PRD7069,Produk26,71995,5
1699,TRX599184,2022-06-10,PRD2575,Produk89,71008,2
4647,TRX107439,2022-06-10,PRD5886,Produk13,80542,5
6656,TRX971078,2022-06-10,PRD8522,Produk46,20387,3
1365,TRX645442,2022-06-10,PRD6604,Produk83,23427,3
8025,TRX321345,2022-06-11,PRD8418,Produk42,26852,5
8427,TRX569463,2022-06-11,PRD2761,Produk6,50310,2
3194,TRX613644,2022-06-11,PRD5308,Produk44,86020,7
8290,TRX350190,2022-06-11,PRD7897,Produk98,58789,9
9793,TRX598924,2022-06-11,PRD1290,Produk96,46796,6
6802,TRX868009,2022-06-11,PRD8696,Produk37,53916,4
1724,TRX862173,2022-06-11,PRD5993,Produk71,41986,7
3164,TRX270252,2022-06-11,PRD6170,Produk16,58083,1
6963,TRX618280,2022-06-11,PRD1858,Produk66,43473,7
1390,TRX523470,2022-06-11,PRD7669,Produk34,94250,3
2554,TRX916602,2022-06-12,PRD2280,Produk70,54986,4
8276,TRX316533,2022-06-12,PRD7698,Produk19,85289,9
4464,TRX465057,2022-06-12,PRD7946,Produk18,85002,6
8851,TRX109926,2022-06-12,PRD7580,Produk17,92524,9
9514,TRX159301,2022-06-12,PRD4399,Produk64,91320,1
5655,TRX470520,2022-06-12,PRD7011,Produk50,90956,4
4753,TRX252645,2022-06-12,PRD2887,Produk6,11966,5
5080,TRX825913,2022-06-12,PRD3420,Produk33,19196,4
9632,TRX530973,2022-06-12,PRD9643,Produk42,93946,2
4116,TRX931552,2022-06-12,PRD8792,Produk9,55208,8
2692,TRX572218,2022-06-13,PRD5232,Produk75,61387,9
4246,TRX163104,2022-06-13,PRD4722,Produk62,81051,5
1701,TRX106899,2022-06-13,PRD6429,Produk49,75473,6
5681,TRX566275,2022-06-13,PRD9777,Produk72,90370,3
8565,TRX548455,2022-06-13,PRD8742,Produk1,30878,7
8203,TRX111110,2022-06-13,PRD5925,Produk54,94796,1
7153,TRX838294,2022-06-13,PRD9255,Produk2,49066,2
3496,TRX323357,2022-06-13,PRD3015,Produk2,67911,7
5862,TRX518489,2022-06-13,PRD4336,Produk96,22306,1
2076,TRX748852,2022-06-13,PRD4085,Produk45,12414,8
5732,TRX717932,2022-06-14,PRD6419,Produk27,78871,5
1951,TRX223292,2022-06-14,PRD9533,Produk25,13940,7
1454,TRX105568,2022-06-14,PRD1347,Produk18,88298,3
8635,TRX551214,2022-06-14,PRD5319,Produk79,96749,4
5539,TRX846938,2022-06-14,PRD6805,Produk83,54996,9
6787,TRX672017,2022-06-14,PRD5928,Produk38,44972,5
7913,TRX392595,2022-06-14,PRD6905,Produk5,79952,9
7588,TRX796700,2022-06-14,PRD7500,Produk39,25785,4
4418,TRX555659,2022-06-14,PRD1090,Produk32,37941,6
5648,TRX596549,2022-06-14,PRD2845,Produk42,56100,2
3049,TRX713567,2022-06-15,PRD2355,Produk53,85273,7
4182,TRX216113,2022-06-15,PRD9928,Produk22,37010,9
4162,TRX479793,2022-06-15,PRD3037,Produk48,42629,1
4055,TRX370530,2022-06-15,PRD7069,Produk91,83890,2
7872,TRX905263,2022-06-15,PRD6885,Produk62,56164,4
6958,TRX239223,2022-06-15,PRD7886,Produk68,88260,6
2576,TRX840404,2022-06-15,PRD9122,Produk67,43384,1
5656,TRX510906,2022-06-15,PRD6869,Produk97,16954,6
6709,TRX413642,2022-06-15,PRD7482,Produk73,40916,8
2171,TRX989400,2022-06-15,PRD7458,Produk78,93701,4
1810,TRX968907,2022-06-16,PRD1151,Produk60,78046,4
2955,TRX913614,2022-06-16,PRD3570,Produk16,59126,1
3041,TRX246332,2022-06-16,PRD4438,Produk64,74785,5
4536,TRX772311,2022-06-16,PRD6403,Produk13,33711,1
2311,TRX699833,2022-06-16,PRD6045,Produk99,35732,7
1560,TRX553027,2022-06-16,PRD9387,Produk28,55016,2
2703,TRX354426,2022-06-16,PRD7994,Produk94,43636,5
5051,TRX235695,2022-06-16,PRD1581,Produk95,46361,8
7460,TRX250465,2022-06-16,PRD2964,Produk80,25343,2
2876,TRX802192,2022-06-16,PRD7475,Produk54,87560,9
7143,TRX333348,2022-06-17,PRD8994,Produk97,40802,1
4199,TRX870941,2022-06-17,PRD5050,Produk51,73106,3
6298,TRX342149,2022-06-17,PRD7206,Produk42,25269,2
4302,TRX882539,2022-06-17,PRD2317,Produk76,51366,8
6082,TRX649057,2022-06-17,PRD4569,Produk6,10968,9
6203,TRX478564,2022-06-17,PRD2984,Produk44,59788,2
5123,TRX593120,2022-06-17,PRD4567,Produk65,48623,9
2124,TRX265714,2022-06-17,PRD8978,Produk12,24820,7
9211,TRX339894,2022-06-17,PRD4973,Produk29,42598,6
8533,TRX667918,2022-06-17,PRD9833,Produk29,11010,5
1979,TRX611232,2022-06-18,PRD5125,Produk34,17720,4
7692,TRX747805,2022-06-18,PRD6511,Produk38,72427,2
9746,TRX756066,2022-06-18,PRD3381,Produk13,82476,7
9058,TRX433610,2022-06-18,PRD2227,Produk56,23282,1
9131,TRX622674,2022-06-18,PRD9767,Produk91,60345,4
4456,TRX240546,2022-06-18,PRD6441,Produk89,95171,2
6579,TRX872107,2022-06-18,PRD2690,Produk48,57362,6
3102,TRX689419,2022-06-18,PRD6852,Produk95,76082,5
6378,TRX797143,2022-06-18,PRD8879,Produk96,71668,5
8755,TRX821885,2022-06-18,PRD8368,Produk84,98512,4
7861,TRX384876,2022-06-19,PRD5908,Produk30,49949,7
4305,TRX771037,2022-06-19,PRD3257,Produk4,71807,9
5509,TRX621555,2022-06-19,PRD9394,Produk46,71662,3
1381,TRX893014,2022-06-19,PRD2962,Produk76,10685,9
2059,TRX578048,2022-06-19,PRD2350,Produk32,38014,8
6433,TRX821254,2022-06-19,PRD2220,Produk27,92248,3
3368,TRX957769,2022-06-19,PRD5644,Produk35,66154,9
9850,TRX565695,2022-06-19,PRD5410,Produk94,55231,5
5389,TRX129536,2022-06-19,PRD4717,Produk83,78020,7
7459,TRX405000,2022-06-19,PRD6334,Produk27,91562,8
1942,TRX890678,2022-06-20,PRD3194,Produk8,89726,2
